Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2019-04-20,5304.16,5358.49,5295.88,5337.89,3522.19,3624.09,3409.62,3525.59
2019-04-19,5298.15,5336.68,5233.33,5303.81,3518.58,3620.44,3406.01,3521.95
2019-04-18,5251.48,5319.99,5250.51,5298.39,3514.97,3616.81,3402.44,3518.34
2019-04-17,5236.14,5274.28,5219.21,5251.94,3511.40,3613.19,3398.87,3514.73
2019-04-16,5066.58,5238.95,5055.19,5235.56,3507.84,3609.61,3395.32,3511.16
2019-04-15,5167.32,5196.61,5024.07,5067.11,3504.39,3606.04,3391.87,3507.60
2019-04-14,5095.76,5184.02,5053.57,5167.72,3500.86,3602.50,3388.45,3504.15
2019-04-13,5088.85,5127.12,5061.59,5096.59,3497.39,3598.97,3385.01,3500.62
2019-04-12,5061.20,5103.27,4955.85,5089.54,3493.92,3595.47,3381.55,3497.15
2019-04-11,5325.08,5354.23,5017.30,5064.49,3490.47,3591.99,3378.18,3493.68
2019-04-10,5204.11,5421.65,5193.38,5324.55,3486.83,3588.33,3374.76,3490.22
2019-04-09,5289.92,5289.92,5167.42,5204.96,3483.27,3584.62,3371.21,3486.58
2019-04-08,5199.84,5318.84,5148.21,5289.77,3479.66,3581.01,3367.68,3483.03
2019-04-07,5062.79,5235.19,5050.41,5198.90,3476.10,3577.37,3364.17,3479.41
2019-04-06,5036.79,5205.82,4992.22,5059.82,3472.65,3573.80,3360.72,3475.86
2019-04-05,4922.81,5053.51,4919.49,5036.68,3469.21,3570.24,3357.31,3472.41
2019-04-04,4971.31,5063.16,4836.79,4922.80,3465.86,3566.79,3353.96,3468.97
2019-04-03,4879.96,5307.00,4876.62,4973.02,3462.47,3563.34,3350.66,3465.61
2019-04-02,4156.92,4905.95,4155.32,4879.88,3459.14,3559.71,3347.34,3462.22
2019-04-01,4105.36,4164.95,4096.90,4158.18,3456.33,3556.37,3344.53,3458.90
2019-03-31,4105.46,4113.02,4094.10,4105.40,3453.56,3553.56,3341.76,3456.09
2019-03-30,4092.14,4296.81,4053.91,4106.66,3450.80,3550.78,3339.00,3453.32
