Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close,200_WMA_Dollar_1_Day,200_WMA_Percent_1_Day,Price_Change_Dollar_200_Week,Price_Change_Percent_200_Week,Price_Change_Dollar_Same_Day_Swing,Price_Change_Percent_Same_Day_Swing,Price_Change_Dollar_1_Day,Price_Change_Percent_1_Day
2025-08-01,115738.95,116060.77,112724.45,113320.09,50769.18,51720.99,49796.63,50812.65,46.57,0.09,65203.14,135.51,3336.33,2.9,-2438.12,-2.11
2025-07-31,117833.63,118919.98,115505.22,115758.20,50717.80,51672.69,49747.05,50766.08,51.40,0.10,71967.31,164.34,3414.77,2.9,-2072.98,-1.76
2025-07-30,117921.99,118780.73,115800.83,117831.19,50663.32,51619.23,49694.15,50714.68,54.48,0.11,76266.83,183.49,2979.90,2.5,-90.96,-0.08
2025-07-29,117938.59,119273.87,116987.37,117922.15,50608.42,51564.78,49640.61,50660.20,54.93,0.11,76887.61,187.37,2286.50,1.9,-2.33,-0.00
2025-07-28,119457.52,119819.79,117441.44,117924.48,50554.32,51510.13,49586.28,50605.27,54.06,0.11,75688.75,179.21,2378.35,2.0,-1524.02,-1.28
2025-07-27,117944.73,119815.59,117859.69,119448.49,50499.87,51456.20,49532.53,50551.21,54.46,0.11,76239.95,176.45,1955.91,1.6,1501.12,1.27
2025-07-26,117644.84,118335.69,117181.23,117947.37,50446.14,51401.98,49477.52,50496.75,53.73,0.11,75230.77,176.12,1154.46,1.0,311.48,0.26
2025-07-25,118368.00,118486.98,114759.82,117635.88,50392.70,51348.16,49423.65,50443.02,53.43,0.11,74796.13,174.60,3727.16,3.2,-732.12,-0.62
2025-07-24,118770.98,119535.45,117247.97,118368.00,50340.23,51295.74,49370.92,50389.59,52.48,0.10,73472.91,163.65,2287.48,1.9,-386.96,-0.33
2025-07-23,119997.45,120113.35,117391.39,118754.96,50286.52,51242.45,49317.96,50337.11,53.70,0.11,75180.45,172.53,2721.96,2.3,-1240.45,-1.03
2025-07-22,117426.50,120269.97,116233.23,119995.41,50229.86,51188.06,49263.13,50283.41,56.63,0.11,79301.73,194.87,4036.74,3.4,2555.88,2.18
2025-07-21,117306.47,119671.56,116584.40,117439.54,50176.71,51133.31,49208.52,50226.78,53.30,0.11,74595.73,174.11,3087.16,2.6,138.75,0.12
2025-07-20,117944.11,118865.03,116550.13,117300.79,50126.68,51081.64,49155.68,50173.48,50.02,0.10,70040.57,148.20,2314.90,2.0,-639.19,-0.54
2025-07-19,117998.12,118541.40,117388.41,117939.98,50076.91,51031.26,49105.95,50123.46,49.76,0.10,69661.61,144.29,1152.98,1.0,-63.25,-0.05
2025-07-18,119284.11,120851.91,116925.98,118003.23,50026.39,50981.44,49055.74,50073.70,50.52,0.10,70735.70,149.65,3925.93,3.3,-1286.62,-1.08
2025-07-17,118738.51,120999.61,117508.22,119289.84,49975.31,50929.52,49005.67,50023.18,51.08,0.10,71506.48,149.65,3491.39,2.9,551.34,0.46
2025-07-16,117777.19,120065.52,117064.82,118738.51,49924.90,50877.71,48955.36,49972.10,50.40,0.10,70562.16,146.47,3000.70,2.5,961.32,0.82
2025-07-15,119853.85,119935.56,115765.69,117777.19,49874.41,50826.57,48905.14,49921.70,50.49,0.10,70684.70,150.10,4169.88,3.5,-2072.52,-1.73
2025-07-14,119115.79,123091.61,118959.20,119849.70,49820.91,50774.63,48854.42,49871.21,53.48,0.11,74886.62,166.55,4132.41,3.4,733.59,0.62
2025-07-13,117432.20,119449.57,117265.44,119116.12,49768.73,50720.00,48800.58,49817.73,52.19,0.10,73052.84,158.59,2184.13,1.8,1680.89,1.43
2025-07-12,117530.71,118219.90,116977.02,117435.23,49717.14,50667.79,48748.82,49765.54,51.59,0.10,72233.77,159.80,1242.88,1.1,-81.77,-0.07
2025-07-11,115986.23,118856.48,115245.69,117516.99,49665.24,50616.18,48697.27,49713.95,51.88,0.10,72633.08,161.82,3610.79,3.1,1529.79,1.32
2025-07-10,111329.20,116608.78,110660.75,115987.20,49615.54,50564.88,48646.63,49662.07,49.71,0.10,69595.78,150.02,5948.03,5.1,4660.65,4.19
2025-07-09,108950.27,111925.38,108357.68,111326.55,49568.71,50515.35,48600.20,49612.36,46.60,0.09,65235.16,141.53,3567.70,3.2,2376.28,2.18
2025-07-08,108298.23,109198.97,107499.55,108950.27,49524.33,50469.22,48554.63,49565.76,44.39,0.09,62139.14,132.74,1699.41,1.6,650.42,0.60
2025-07-07,109235.33,109710.25,107527.05,108299.85,49484.59,50428.97,48508.77,49521.37,39.76,0.08,55666.32,105.76,2183.20,2.0,-932.22,-0.85
2025-07-06,108231.19,109731.62,107847.02,109232.07,49443.54,50388.25,48468.43,49481.61,41.06,0.08,57478.66,111.06,1884.61,1.7,1000.89,0.92
2025-07-05,108015.84,108381.34,107842.27,108231.18,49401.90,50346.93,48426.78,49440.55,41.63,0.08,58286.55,116.70,539.07,0.5,196.84,0.18
2025-07-04,109635.66,109751.98,107296.38,108034.34,49360.47,50305.61,48385.14,49398.92,41.44,0.08,58008.96,115.96,2455.60,2.3,-1613.64,-1.47
2025-07-03,108845.02,110541.46,108605.80,109647.98,49317.36,50263.63,48343.06,49357.48,43.09,0.09,60320.25,122.28,1935.66,1.8,788.66,0.72
